# DAB/DAB+ Automotive Audio Decoder Test Harness Execution Log
# Input: english_dab_plus.au | Codec: HE-AAC v2 | Sample Rate: 48000 Hz
# Frame	AU_Len	AU_Status	Conceal_Mode	Mute_State	Gain_Q15	Quality	Trigger	Samples
88	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
89	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
90	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
91	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
92	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
93	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
94	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
95	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
96	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
97	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
98	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
99	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
100	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
101	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
102	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
103	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
104	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
105	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
106	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
107	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
108	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
109	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
110	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
111	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
112	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
113	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
114	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
115	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
116	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
117	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
118	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
119	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
120	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
121	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
122	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
123	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
124	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
125	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
126	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
127	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
128	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
129	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
130	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
131	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
132	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
133	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
134	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
135	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
136	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
137	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
138	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
139	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
140	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
141	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
142	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
143	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
144	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
145	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
146	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
147	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
148	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
149	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
150	356	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
151	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
152	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
153	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
154	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
155	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
156	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
157	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
158	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
159	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
160	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
161	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
162	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
163	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
164	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
165	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
166	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
167	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
168	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
169	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
170	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
171	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
172	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
173	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
174	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
175	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
176	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
177	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
178	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
179	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
180	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
181	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
182	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
183	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
184	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
185	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
186	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
187	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
188	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
189	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
190	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
191	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
192	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
193	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
194	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
195	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
196	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
197	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
198	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
199	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
200	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
201	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
202	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
203	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
204	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
205	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
206	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
207	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
208	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
209	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
210	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
211	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
212	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
213	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
